[predict] рецепт: порог=0.5500 по «top1», TTA flip=False, быстрый декод=True, DBA k=0, k-reciprocal=True (6/2)
[predict] запросов 1110, галерея 750
[models] ft:release_soup: vit_base_patch14_dinov2.lvd142m, D=1536, input=336, device=cuda

extract[query]:   0%|          | 0/35 [00:00<?, ?batch/s]
extract[query]:   3%|▎         | 1/35 [00:25<14:20, 25.31s/batch]
extract[query]:   6%|▌         | 2/35 [00:25<05:46, 10.50s/batch]
extract[query]:   9%|▊         | 3/35 [00:25<03:04,  5.76s/batch]
extract[query]:  11%|█▏        | 4/35 [00:25<01:49,  3.54s/batch]
extract[query]:  14%|█▍        | 5/35 [00:25<01:09,  2.31s/batch]
extract[query]:  17%|█▋        | 6/35 [00:25<00:45,  1.57s/batch]
extract[query]:  20%|██        | 7/35 [00:26<00:30,  1.10s/batch]
extract[query]:  23%|██▎       | 8/35 [00:27<00:32,  1.21s/batch]
extract[query]:  26%|██▌       | 9/35 [00:29<00:37,  1.45s/batch]
extract[query]:  29%|██▊       | 10/35 [00:29<00:26,  1.04s/batch]
extract[query]:  31%|███▏      | 11/35 [00:29<00:18,  1.31batch/s]
extract[query]:  34%|███▍      | 12/35 [00:29<00:13,  1.75batch/s]
extract[query]:  37%|███▋      | 13/35 [00:30<00:09,  2.28batch/s]
extract[query]:  40%|████      | 14/35 [00:30<00:07,  2.90batch/s]
extract[query]:  43%|████▎     | 15/35 [00:30<00:05,  3.57batch/s]
extract[query]:  46%|████▌     | 16/35 [00:32<00:17,  1.11batch/s]
extract[query]:  49%|████▊     | 17/35 [00:34<00:19,  1.07s/batch]
extract[query]:  51%|█████▏    | 18/35 [00:34<00:13,  1.27batch/s]
extract[query]:  54%|█████▍    | 19/35 [00:34<00:09,  1.70batch/s]
extract[query]:  57%|█████▋    | 20/35 [00:34<00:06,  2.21batch/s]
extract[query]:  60%|██████    | 21/35 [00:34<00:05,  2.80batch/s]
extract[query]:  63%|██████▎   | 22/35 [00:34<00:03,  3.44batch/s]
extract[query]:  66%|██████▌   | 23/35 [00:34<00:02,  4.11batch/s]
extract[query]:  69%|██████▊   | 24/35 [00:37<00:11,  1.02s/batch]
extract[query]:  71%|███████▏  | 25/35 [00:38<00:08,  1.19batch/s]
extract[query]:  74%|███████▍  | 26/35 [00:38<00:05,  1.56batch/s]
extract[query]:  77%|███████▋  | 27/35 [00:38<00:03,  2.05batch/s]
extract[query]:  80%|████████  | 28/35 [00:38<00:02,  2.63batch/s]
extract[query]:  83%|████████▎ | 29/35 [00:38<00:01,  3.27batch/s]
extract[query]:  86%|████████▌ | 30/35 [00:38<00:01,  3.90batch/s]
extract[query]:  89%|████████▊ | 31/35 [00:38<00:00,  4.58batch/s]
extract[query]:  91%|█████████▏| 32/35 [00:40<00:01,  2.19batch/s]
extract[query]:  94%|█████████▍| 33/35 [00:40<00:00,  2.43batch/s]
extract[query]:  97%|█████████▋| 34/35 [00:40<00:00,  2.86batch/s]
extract[query]: 100%|██████████| 35/35 [00:42<00:00,  1.21s/batch]
[extract] query: 38.1 мс/кроп всего = 4.8 сеть + 33.3 чтение кадров с диска

extract[gallery]:   0%|          | 0/24 [00:00<?, ?batch/s]
extract[gallery]:   4%|▍         | 1/24 [00:21<08:21, 21.79s/batch]
extract[gallery]:   8%|▊         | 2/24 [00:21<03:19,  9.05s/batch]
extract[gallery]:  12%|█▎        | 3/24 [00:22<01:44,  4.98s/batch]
extract[gallery]:  17%|█▋        | 4/24 [00:22<01:01,  3.06s/batch]
extract[gallery]:  21%|██        | 5/24 [00:22<00:38,  2.01s/batch]
extract[gallery]:  25%|██▌       | 6/24 [00:22<00:24,  1.37s/batch]
extract[gallery]:  29%|██▉       | 7/24 [00:22<00:16,  1.04batch/s]
extract[gallery]:  33%|███▎      | 8/24 [00:25<00:23,  1.48s/batch]
extract[gallery]:  38%|███▊      | 9/24 [00:26<00:21,  1.45s/batch]
extract[gallery]:  42%|████▏     | 10/24 [00:26<00:14,  1.05s/batch]
extract[gallery]:  46%|████▌     | 11/24 [00:26<00:10,  1.30batch/s]
extract[gallery]:  50%|█████     | 12/24 [00:26<00:06,  1.73batch/s]
extract[gallery]:  54%|█████▍    | 13/24 [00:27<00:04,  2.25batch/s]
extract[gallery]:  58%|█████▊    | 14/24 [00:27<00:03,  2.87batch/s]
extract[gallery]:  62%|██████▎   | 15/24 [00:27<00:02,  3.51batch/s]
